City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,fengzhen,CN,2021-12-27 00:16:18,40.4394,113.1536,5.31,42,0,2.01
262,vila,PT,2021-12-27 00:16:19,42.0304,-8.1588,50.88,96,100,13.82
263,ancud,CL,2021-12-27 00:16:19,-41.8697,-73.8203,67.53,85,38,4.45
264,novikovo,RU,2021-12-27 00:16:19,51.1537,37.8879,10.65,96,9,6.6
265,netanya,IL,2021-12-27 00:16:20,32.3329,34.8599,52.95,55,3,9.82
266,sabang,ID,2021-12-27 00:16:20,5.8933,95.3214,81.37,69,38,12.46
267,maldonado,UY,2021-12-27 00:11:59,-34.6667,-54.9167,70.23,67,1,5.14
268,oda,JP,2021-12-27 00:16:21,35.1833,132.5,30.97,66,100,19.62
269,shubarkuduk,KZ,2021-12-27 00:16:21,49.1447,56.4872,22.59,91,100,25.72
270,nemuro,JP,2021-12-27 00:16:22,43.3236,145.575,21.63,66,86,27.45
271,katobu,ID,2021-12-27 00:16:23,-4.9408,122.5276,81.5,80,100,7.29
272,caravelas,BR,2021-12-27 00:16:23,-17.7125,-39.2481,73.51,93,83,2.75
273,goundam,ML,2021-12-27 00:16:24,16.4145,-3.6708,69.04,15,88,8.68
274,yelnya,RU,2021-12-27 00:16:24,54.5786,33.1837,4.14,96,22,8.3
275,adrar,MR,2021-12-27 00:16:24,20.5022,-10.0711,65.95,25,31,8.63
276,east london,ZA,2021-12-27 00:16:25,-33.0153,27.9116,71.26,70,100,6.22
277,kavaratti,IN,2021-12-27 00:17:26,10.5669,72.642,79.9,70,12,6.73
278,ojinaga,MX,2021-12-27 00:17:26,29.5667,-104.4167,79.75,22,1,3.44
279,reading,GB,2021-12-27 00:15:41,51.4562,-0.9711,48.94,94,90,6.91
280,broome,US,2021-12-27 00:17:27,42.2506,-75.833,37.83,73,90,4.0
281,kangaatsiaq,GL,2021-12-27 00:17:27,68.3065,-53.4641,7.56,90,30,5.79
282,sorland,NO,2021-12-27 00:17:28,67.667,12.6934,30.6,67,92,6.11
283,vila velha,BR,2021-12-27 00:17:18,-20.3297,-40.2925,75.15,89,20,3.0
284,paragould,US,2021-12-27 00:17:28,36.0584,-90.4973,62.44,89,90,10.11
285,acapulco,MX,2021-12-27 00:17:29,16.8634,-99.8901,82.22,74,75,2.3
286,rincon,US,2021-12-27 00:17:29,32.296,-81.2354,69.13,91,1,5.75
287,victor harbor,AU,2021-12-27 00:17:29,-35.5667,138.6167,67.8,70,25,1.99
288,vero beach,US,2021-12-27 00:13:24,27.6386,-80.3973,71.04,82,1,0.0
289,komsomolskiy,UZ,2021-12-27 00:17:30,40.4272,71.7189,32.72,86,90,2.3
290,luderitz,NA,2021-12-27 00:17:30,-26.6481,15.1594,63.09,88,1,4.59
291,russell,US,2021-12-27 00:15:25,32.3502,-85.1999,65.48,93,1,0.0
292,saint-paul,RE,2021-12-27 00:17:31,-21.0096,55.2707,77.11,83,7,0.76
293,dodge city,US,2021-12-27 00:17:31,37.7528,-100.0171,69.26,18,1,15.01
294,chimoio,MZ,2021-12-27 00:17:32,-19.1164,33.4833,67.05,99,99,1.32
295,margate,GB,2021-12-27 00:17:32,51.3813,1.3862,47.97,95,52,7.78
296,eastleigh,GB,2021-12-27 00:17:33,50.9667,-1.35,48.92,97,31,1.99
297,carutapera,BR,2021-12-27 00:17:33,-1.195,-46.02,76.62,91,92,7.18
298,anadyr,RU,2021-12-27 00:17:34,64.75,177.4833,-21.5,76,0,11.18
299,kayerkan,RU,2021-12-27 00:17:34,69.3497,87.7602,-12.68,95,79,6.82
300,hualmay,PE,2021-12-27 00:17:34,-11.0964,-77.6139,69.04,82,16,7.45
